date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:10	5913/5913	---M--	200	added ('OK')	image/svg+xml	etag:%221719-60743101899cb%22	https://themesbrand.com/velzon/html/default/assets/images/flags/spain.svg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/spain.svg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:10	690/690	---M--	200	added ('OK')	image/svg+xml	etag:%222b2-6074310187a8b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/germany.svg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/germany.svg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:10	690/690	---M--	200	added ('OK')	image/svg+xml	etag:%222b2-6074310187a8b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/italy.svg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/italy.svg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:11	702/702	---M--	200	added ('OK')	image/svg+xml	etag:%222be-60743101899cb%22	https://themesbrand.com/velzon/html/default/assets/images/flags/russia.svg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/russia.svg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:11	2483/2483	---M--	200	added ('OK')	image/svg+xml	etag:%229b3-6074310185b4b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/china.svg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/china.svg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:11	428/428	---M--	200	added ('OK')	image/svg+xml	etag:%221ac-6074310186aeb%22	https://themesbrand.com/velzon/html/default/assets/images/flags/french.svg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/french.svg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:12	259/259	---M--	200	added ('OK')	image/svg+xml	etag:%22103-6074310185b4b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/ae.svg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/ae.svg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:12	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/github.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/github.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:12	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/bitbucket.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/bitbucket.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:13	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/dribbble.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/dribbble.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:13	772/772	---M--	200	added ('OK')	image/png	etag:%22304-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/dropbox.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/dropbox.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:13	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/mail_chimp.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/mail_chimp.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:14	2691/2691	---M--	200	added ('OK')	image/png	etag:%22a83-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/slack.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/slack.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:14	220607/220607	---M-Z	200	added ('OK')	text/html	etag:%2235dbf-607431015cb0a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-products.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:15	247201/247201	---M-Z	200	added ('OK')	text/html	etag:%223c5a1-607431015cb0a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-product-details.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-product-details.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:15	62563/62563	---M--	200	added ('OK')	image/png	etag:%22f463-607431018e7eb%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-1.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-1.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:17	54572/54572	---M--	200	added ('OK')	image/png	etag:%22d52c-607431018f78b%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-2.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-2.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:17	100267/100267	---M--	200	added ('OK')	image/png	etag:%22187ab-607431018f78b%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-3.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-3.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:17	73544/73544	---M--	200	added ('OK')	image/png	etag:%2211f48-607431018f78b%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-6.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-6.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:18	231097/231097	---M-Z	200	added ('OK')	text/html	etag:%22386b9-607431015bb6a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-checkout.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-checkout.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:18	9460/9460	---M--	200	added ('OK')	image/jpeg	etag:%2224f4-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-8.jpg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/users/avatar-8.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:18	11948/11948	---M--	200	added ('OK')	image/jpeg	etag:%222eac-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-6.jpg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/users/avatar-6.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:19	68652/68652	---M--	200	added ('OK')	image/png	etag:%2210c2c-607431018f78b%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-5.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-5.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:19	9022/9022	---M--	200	added ('OK')	image/jpeg	etag:%22233e-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-1.jpg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/users/avatar-1.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:20	412633/412633	---M-Z	200	added ('OK')	text/html	etag:%2264bd9-60743102309af-gzip%22	https://themesbrand.com/velzon/html/default/pages-profile.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/pages-profile.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:20	230663/230663	---M-Z	200	added ('OK')	text/html	etag:%2238507-6074310159c2a-gzip%22	https://themesbrand.com/velzon/html/default/apps-chat.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-chat.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:20	294447/294447	---M-Z	200	added ('OK')	text/html	etag:%2247e2f-607431016480a-gzip%22	https://themesbrand.com/velzon/html/default/apps-tasks-kanban.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-tasks-kanban.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:21	211617/211617	---M-Z	200	added ('OK')	text/html	etag:%2233aa1-607431022dacf-gzip%22	https://themesbrand.com/velzon/html/default/pages-faqs.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/pages-faqs.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:21	239880/239880	---M-Z	200	added ('OK')	text/html	etag:%223a908-60743102309af-gzip%22	https://themesbrand.com/velzon/html/default/pages-profile-settings.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/pages-profile-settings.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:21	5919/5919	---M-Z	200	added ('OK')	text/html	etag:%22171f-607431021542e-gzip%22	https://themesbrand.com/velzon/html/default/auth-lockscreen-basic.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/auth-lockscreen-basic.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:21	5011/5011	---M-Z	200	added ('OK')	text/html	etag:%221393-607431021542e-gzip%22	https://themesbrand.com/velzon/html/default/auth-logout-basic.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/auth-logout-basic.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:22	230991/230991	---M-Z	200	added ('OK')	text/html	etag:%223864f-607431021c18e-gzip%22	https://themesbrand.com/velzon/html/default/dashboard-analytics.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/dashboard-analytics.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:22	246277/246277	---M-Z	200	added ('OK')	text/html	etag:%223c205-607431021c18e-gzip%22	https://themesbrand.com/velzon/html/default/dashboard-crm.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/dashboard-crm.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:23	282618/282618	---M-Z	200	added ('OK')	text/html	etag:%2244ffa-607431021d12e-gzip%22	https://themesbrand.com/velzon/html/default/dashboard-crypto.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/dashboard-crypto.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:23	280046/280046	---M-Z	200	added ('OK')	text/html	etag:%22445ee-607431021e0ce-gzip%22	https://themesbrand.com/velzon/html/default/dashboard-projects.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/dashboard-projects.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:23	277099/277099	---M-Z	200	added ('OK')	text/html	etag:%2243a6b-607431021d12e-gzip%22	https://themesbrand.com/velzon/html/default/dashboard-nft.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/dashboard-nft.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:23	274271/274271	---M-Z	200	added ('OK')	text/html	etag:%2242f5f-607431021d12e-gzip%22	https://themesbrand.com/velzon/html/default/dashboard-job.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/dashboard-job.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:24	207028/207028	---M-Z	200	added ('OK')	text/html	etag:%22328b4-6074310158c8a-gzip%22	https://themesbrand.com/velzon/html/default/apps-calendar.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-calendar.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:24	244203/244203	---M-Z	200	added ('OK')	text/html	etag:%223b9eb-60743101628ca-gzip%22	https://themesbrand.com/velzon/html/default/apps-mailbox.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-mailbox.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:24	227408/227408	---M-Z	200	added ('OK')	text/html	etag:%2237850-607431015cb0a-gzip%22	https://themesbrand.com/velzon/html/default/apps-email-basic.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-email-basic.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:25	227689/227689	---M-Z	200	added ('OK')	text/html	etag:%2237969-607431015daaa-gzip%22	https://themesbrand.com/velzon/html/default/apps-email-ecommerce.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-email-ecommerce.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:25	214223/214223	---M-Z	200	added ('OK')	text/html	etag:%22344cf-607431015bb6a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-add-product.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-add-product.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:25	217241/217241	---M-Z	200	added ('OK')	text/html	etag:%2235099-607431015cb0a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-orders.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-orders.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:26	220519/220519	---M-Z	200	added ('OK')	text/html	etag:%2235d67-607431015cb0a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-order-details.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-order-details.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:26	209714/209714	---M-Z	200	added ('OK')	text/html	etag:%2233332-607431015bb6a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-customers.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-customers.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:26	209548/209548	---M-Z	200	added ('OK')	text/html	etag:%223328c-607431015bb6a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-cart.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-cart.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:26	215777/215777	---M-Z	200	added ('OK')	text/html	etag:%2234ae1-607431015cb0a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-sellers.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-sellers.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:27	221817/221817	---M-Z	200	added ('OK')	text/html	etag:%2236279-607431015cb0a-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-seller-details.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-seller-details.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:27	284319/284319	---M-Z	200	added ('OK')	text/html	etag:%224569f-607431016480a-gzip%22	https://themesbrand.com/velzon/html/default/apps-projects-list.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-projects-list.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:27	352543/352543	---M-Z	200	added ('OK')	text/html	etag:%225611f-607431016480a-gzip%22	https://themesbrand.com/velzon/html/default/apps-projects-overview.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-projects-overview.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:27	214159/214159	---M-Z	200	added ('OK')	text/html	etag:%223448f-607431016386a-gzip%22	https://themesbrand.com/velzon/html/default/apps-projects-create.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-projects-create.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:28	228101/228101	---M-Z	200	added ('OK')	text/html	etag:%2237b05-607431016480a-gzip%22	https://themesbrand.com/velzon/html/default/apps-tasks-list-view.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-tasks-list-view.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:30	255138/255138	---M-Z	200	added ('OK')	text/html	etag:%223e4a2-607431016480a-gzip%22	https://themesbrand.com/velzon/html/default/apps-tasks-details.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-tasks-details.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:30	220246/220246	---M-Z	200	added ('OK')	text/html	etag:%2235c56-6074310159c2a-gzip%22	https://themesbrand.com/velzon/html/default/apps-crm-contacts.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crm-contacts.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:32	331633/331633	---M-Z	200	added ('OK')	text/html	etag:%2250f71-6074310159c2a-gzip%22	https://themesbrand.com/velzon/html/default/apps-crm-deals.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crm-deals.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:32	221741/221741	---M-Z	200	added ('OK')	text/html	etag:%223622d-6074310159c2a-gzip%22	https://themesbrand.com/velzon/html/default/apps-crm-companies.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crm-companies.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:32	229695/229695	---M-Z	200	added ('OK')	text/html	etag:%223813f-6074310159c2a-gzip%22	https://themesbrand.com/velzon/html/default/apps-crm-leads.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crm-leads.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:32	230104/230104	---M-Z	200	added ('OK')	text/html	etag:%22382d8-607431015abca-gzip%22	https://themesbrand.com/velzon/html/default/apps-crypto-transactions.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crypto-transactions.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:33	235878/235878	---M-Z	200	added ('OK')	text/html	etag:%2239966-6074310159c2a-gzip%22	https://themesbrand.com/velzon/html/default/apps-crypto-buy-sell.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crypto-buy-sell.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:33	221075/221075	---M-Z	200	added ('OK')	text/html	etag:%2235f93-607431015abca-gzip%22	https://themesbrand.com/velzon/html/default/apps-crypto-orders.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crypto-orders.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:33	236857/236857	---M-Z	200	added ('OK')	text/html	etag:%2239d39-607431015abca-gzip%22	https://themesbrand.com/velzon/html/default/apps-crypto-wallet.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crypto-wallet.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:34	228773/228773	---M-Z	200	added ('OK')	text/html	etag:%2237da5-607431015abca-gzip%22	https://themesbrand.com/velzon/html/default/apps-crypto-ico.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crypto-ico.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:34	216401/216401	---M-Z	200	added ('OK')	text/html	etag:%2234d51-607431015abca-gzip%22	https://themesbrand.com/velzon/html/default/apps-crypto-kyc.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-crypto-kyc.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:34	208892/208892	---M-Z	200	added ('OK')	text/html	etag:%2232ffc-607431016098a-gzip%22	https://themesbrand.com/velzon/html/default/apps-invoices-list.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-invoices-list.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:34	206952/206952	---M-Z	200	added ('OK')	text/html	etag:%2232868-607431015f9ea-gzip%22	https://themesbrand.com/velzon/html/default/apps-invoices-details.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-invoices-details.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:35	220084/220084	---M-Z	200	added ('OK')	text/html	etag:%2235bb4-607431015f9ea-gzip%22	https://themesbrand.com/velzon/html/default/apps-invoices-create.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-invoices-create.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:35	216223/216223	---M-Z	200	added ('OK')	text/html	etag:%2234c9f-60743101657aa-gzip%22	https://themesbrand.com/velzon/html/default/apps-tickets-list.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-tickets-list.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:35	215262/215262	---M-Z	200	added ('OK')	text/html	etag:%22348de-607431016480a-gzip%22	https://themesbrand.com/velzon/html/default/apps-tickets-details.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-tickets-details.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:36	227190/227190	---M-Z	200	added ('OK')	text/html	etag:%2237776-607431016386a-gzip%22	https://themesbrand.com/velzon/html/default/apps-nft-marketplace.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/apps-nft-marketplace.html	(from https://themesbrand.com/velzon/html/default/index.html)
